date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:07	16604/16604	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jun%202021%2014:43:07%20GMT	http://192.168.43.98:8000/portfolio/3-thumbnail.jpg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/portfolio/3-thumbnail.jpg	(from http://192.168.43.98:8000/)
20:13:07	16561/16561	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jun%202021%2014:43:07%20GMT	http://192.168.43.98:8000/portfolio/4-thumbnail.jpg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/portfolio/4-thumbnail.jpg	(from http://192.168.43.98:8000/)
20:13:09	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	D:/My%20Web%20Sites/Let's%20Learn/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from http://192.168.43.98:8000/)
20:13:09	16459/16459	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jun%202021%2014:43:08%20GMT	http://192.168.43.98:8000/portfolio/2-thumbnail.jpg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/portfolio/2-thumbnail.jpg	(from http://192.168.43.98:8000/)
20:13:09	24273/24273	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jun%202021%2014:43:08%20GMT	http://192.168.43.98:8000/portfolio/5-thumbnail.jpg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/portfolio/5-thumbnail.jpg	(from http://192.168.43.98:8000/)
20:13:09	35/35	---M--	404	error ('Not%20Found')	text/plain	date:Mon,%2014%20Jun%202021%2014:43:09%20GMT	http://192.168.43.98:8000/%22/BG-2.jpg%22	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/_/BG-2.jpg_	(from http://192.168.43.98:8000/)
20:13:10	13609/13609	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jun%202021%2014:43:09%20GMT	http://192.168.43.98:8000/portfolio/6-thumbnail.jpg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/portfolio/6-thumbnail.jpg	(from http://192.168.43.98:8000/)
20:13:11	3569/3569	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jun%202021%2014:43:11%20GMT	http://192.168.43.98:8000/clients/IEEE.png	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/clients/IEEE.png	(from http://192.168.43.98:8000/)
20:13:11	8780/8780	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jun%202021%2014:43:10%20GMT	http://192.168.43.98:8000/clients/CS.png	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/clients/CS.png	(from http://192.168.43.98:8000/)
20:13:12	804/804	---M--	200	added ('OK')	text/javascript	date:Mon,%2014%20Jun%202021%2014:43:11%20GMT	http://192.168.43.98:8000/assets/js/bs-init.js	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/assets/js/bs-init.js	(from http://192.168.43.98:8000/)
20:13:12	1609/1609	---M--	200	added ('OK')	text/javascript	date:Mon,%2014%20Jun%202021%2014:43:12%20GMT	http://192.168.43.98:8000/assets/js/agency.js	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/assets/js/agency.js	(from http://192.168.43.98:8000/)
20:13:13	14958/14958	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jun%202021%2014:43:10%20GMT	http://192.168.43.98:8000/clients/IEEE-MACE-SB.png	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/clients/IEEE-MACE-SB.png	(from http://192.168.43.98:8000/)
20:13:13	1596/1596	---M--	200	added ('OK')	text/javascript	date:Mon,%2014%20Jun%202021%2014:43:12%20GMT	http://192.168.43.98:8000/js/livereload.js	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/js/livereload.js	(from http://192.168.43.98:8000/)
20:13:14	40736/40736	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jun%202021%2014:43:09%20GMT	http://192.168.43.98:8000/portfolio/4-full.jpg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/portfolio/4-full.jpg	(from http://192.168.43.98:8000/)
20:13:23	78748/78748	---M--	200	added ('OK')	text/javascript	date:Mon,%2014%20Jun%202021%2014:43:11%20GMT	http://192.168.43.98:8000/assets/bootstrap/js/bootstrap.min.js	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/assets/bootstrap/js/bootstrap.min.js	(from http://192.168.43.98:8000/)
20:13:26	75936/75936	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:14%20GMT	http://192.168.43.98:8000/fonts/fa-brands-400.woff2	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-brands-400.woff2	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:35	131930/131930	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:13%20GMT	http://192.168.43.98:8000/fonts/fa-brands-400.eot	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-brands-400.eot	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:35	131930/131930	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:15%20GMT	http://192.168.43.98:8000/fonts/fa-brands-400.eot?	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-brands-400d41d.eot	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:35	708706/708706	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jun%202021%2014:43:35%20GMT	http://192.168.43.98:8000/fonts/fa-brands-400.svg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-brands-400.svg	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:37	89100/89100	---M--	200	added ('OK')	application/font-woff	date:Mon,%2014%20Jun%202021%2014:43:23%20GMT	http://192.168.43.98:8000/fonts/fa-brands-400.woff	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-brands-400.woff	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:40	13576/13576	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:37%20GMT	http://192.168.43.98:8000/fonts/fa-regular-400.woff2	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-regular-400.woff2	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:40	16800/16800	---M--	200	added ('OK')	application/font-woff	date:Mon,%2014%20Jun%202021%2014:43:38%20GMT	http://192.168.43.98:8000/fonts/fa-regular-400.woff	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-regular-400.woff	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:42	34390/34390	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:36%20GMT	http://192.168.43.98:8000/fonts/fa-regular-400.eot	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-regular-400.eot	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:42	144322/144322	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jun%202021%2014:43:42%20GMT	http://192.168.43.98:8000/fonts/fa-regular-400.svg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-regular-400.svg	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:46	34390/34390	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:40%20GMT	http://192.168.43.98:8000/fonts/fa-regular-400.eot?	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-regular-400d41d.eot	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:46	34092/34092	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:40%20GMT	http://192.168.43.98:8000/fonts/fa-regular-400.ttf	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-regular-400.ttf	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:47	131624/131624	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:26%20GMT	http://192.168.43.98:8000/fonts/fa-brands-400.ttf	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-brands-400.ttf	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:13:59	76084/76084	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:47%20GMT	http://192.168.43.98:8000/fonts/fa-solid-900.woff2	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-solid-900.woff2	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:14:03	98996/98996	---M--	200	added ('OK')	application/font-woff	date:Mon,%2014%20Jun%202021%2014:43:47%20GMT	http://192.168.43.98:8000/fonts/fa-solid-900.woff	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-solid-900.woff	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:14:04	849145/849145	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jun%202021%2014:44:04%20GMT	http://192.168.43.98:8000/fonts/fa-solid-900.svg	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-solid-900.svg	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:14:15	194066/194066	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:43%20GMT	http://192.168.43.98:8000/fonts/fa-solid-900.eot	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-solid-900.eot	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:14:18	194066/194066	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:47%20GMT	http://192.168.43.98:8000/fonts/fa-solid-900.eot?	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-solid-900d41d.eot	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:14:30	193780/193780	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:43:59%20GMT	http://192.168.43.98:8000/fonts/fa-solid-900.ttf	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fa-solid-900.ttf	(from http://192.168.43.98:8000/fonts/fontawesome-all.min.css)
20:14:31	77160/77160	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:44:18%20GMT	http://192.168.43.98:8000/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome-webfont3e6e.woff2	(from http://192.168.43.98:8000/fonts/font-awesome.min.css)
20:14:32	165742/165742	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:44:04%20GMT	http://192.168.43.98:8000/fonts/fontawesome-webfont.eot?v=4.7.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome-webfont3e6e.eot	(from http://192.168.43.98:8000/fonts/font-awesome.min.css)
20:14:32	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jun%202021%2014:44:32%20GMT	http://192.168.43.98:8000/fonts/fontawesome-webfont.svg?v=4.7.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome-webfont3e6e.svg	(from http://192.168.43.98:8000/fonts/font-awesome.min.css)
20:14:42	165742/165742	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:44:16%20GMT	http://192.168.43.98:8000/fonts/fontawesome-webfont.eot?	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome-webfontd41d.eot	(from http://192.168.43.98:8000/fonts/font-awesome.min.css)
20:14:46	98024/98024	---M--	200	added ('OK')	application/font-woff	date:Mon,%2014%20Jun%202021%2014:44:31%20GMT	http://192.168.43.98:8000/fonts/fontawesome-webfont.woff?v=4.7.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome-webfont3e6e.woff	(from http://192.168.43.98:8000/fonts/font-awesome.min.css)
20:14:52	120724/120724	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:44:32%20GMT	http://192.168.43.98:8000/fonts/ionicons.eot?v=2.0.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/ionicons28b5.eot	(from http://192.168.43.98:8000/fonts/ionicons.min.css)
20:14:53	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jun%202021%2014:44:53%20GMT	http://192.168.43.98:8000/fonts/ionicons.svg?v=2.0.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/ionicons28b5.svg	(from http://192.168.43.98:8000/fonts/ionicons.min.css)
20:14:58	67904/67904	---M--	200	added ('OK')	application/font-woff	date:Mon,%2014%20Jun%202021%2014:44:47%20GMT	http://192.168.43.98:8000/fonts/ionicons.woff?v=2.0.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/ionicons28b5.woff	(from http://192.168.43.98:8000/fonts/ionicons.min.css)
20:14:58	165548/165548	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:44:31%20GMT	http://192.168.43.98:8000/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/fontawesome-webfont3e6e.ttf	(from http://192.168.43.98:8000/fonts/font-awesome.min.css)
20:15:01	188508/188508	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2014%20Jun%202021%2014:44:42%20GMT	http://192.168.43.98:8000/fonts/ionicons.ttf?v=2.0.0	D:/My%20Web%20Sites/Let's%20Learn/192.168.43.98_8000/fonts/ionicons28b5.ttf	(from http://192.168.43.98:8000/fonts/ionicons.min.css)
